id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53939672,Sonder Georgetown C&O | One-Bedroom Apartment,219493221,Sonder (D.C.),,"Georgetown, Burleith/Hillandale",38.90567,-77.0576,Entire home/apt,277,2,135,2023-02-26,9.27,37,365,124,Exempt
578130627030254327,LOVE DC UNIT 19,98694394,Girum,,"Brightwood Park, Crestwood, Petworth",38.95821,-77.02747,Entire home/apt,140,31,0,,,6,359,0,
578198906616365695,Brand New 1BR | Full Kitchen | Pool | Near Museums,95459395,Bluebird,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90004,-77.025681,Entire home/apt,376,31,0,,,32,77,0,
587585359607607113,1BR Apartment in Washington + Pets OK,48005494,Zeus,,"Capitol Hill, Lincoln Park",38.88687,-76.99578,Entire home/apt,105,31,3,2023-02-18,0.39,138,269,3,
587592853645459199,2BR Place in Washington w/ Office Nook,48005494,Zeus,,"Capitol Hill, Lincoln Park",38.88685,-76.99565,Entire home/apt,133,31,1,2022-09-26,0.17,138,296,1,
587598653671259692,Charming 1BR Apartment in Washington + Pets OK,48005494,Zeus,,"Capitol Hill, Lincoln Park",38.88677,-76.99565,Entire home/apt,106,31,1,2022-08-06,0.13,138,277,1,
53941334,Vibrant 2-BR Pad Only Steps from the White House &,289259344,Douglas,,"Dupont Circle, Connecticut Avenue/K Street",38.90225,-77.03596,Entire home/apt,242,2,78,2023-03-15,5.32,20,224,66,Exempt
587601973396467921,Delightful 1BR Apartment in Washington,48005494,Zeus,,"Capitol Hill, Lincoln Park",38.88897,-76.99722,Entire home/apt,105,31,1,2022-08-01,0.13,138,279,1,
53950117,Renovated 2/1 Condo-Perfect for Longer Stays,30406530,Viviana,,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",38.85456,-76.96491,Entire home/apt,103,3,30,2023-02-19,2.11,3,143,24,Hosted License: 5007242201001518
578222370187502707,Georgetown Cobblestone Cottage - Private Parking!,46630199,Home Sweet City,,"Georgetown, Burleith/Hillandale",38.90934,-77.06428,Entire home/apt,306,3,20,2023-02-22,1.75,94,49,20,Unhosted License: 5007262201000634
578600000696660043,Lovely one bedroom condo in Washington /no parking,448698749,Sule,,"Union Station, Stanton Park, Kingman Park",38.896469,-76.975586,Entire home/apt,71,7,21,2023-02-26,4.38,3,226,21,Hosted License: 5007242201002561
587622740481044016,Pet-Friendly 1BR Apartment in Washington,48005494,Zeus,,"Capitol Hill, Lincoln Park",38.88866,-76.99687,Entire home/apt,95,31,0,,,138,297,0,
587624025382493773,1BR Apartment in Washington near Capitol Hill,48005494,Zeus,,"Capitol Hill, Lincoln Park",38.88691,-76.99693,Entire home/apt,91,31,0,,,138,304,0,
53952328,Ideal for Nurses/ long stays! Beautifully designed,419986173,Coffee And Tea,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.9612,-76.99665,Private room,51,31,0,,,2,178,0,
